Frequency,XinV,YinV,RinV,outputphase
9.5,-4.52998e-006,-1.00136e-005,1.09673e-005,-114.228
9.5,-5.96049e-006,-1.09673e-005,1.21594e-005,-118.302
9.0,-3.81473e-006,-8.82155e-006,9.29838e-006,-112.932
9.0,-1.1921e-006,-5.72208e-006,5.48366e-006,-101.976
9.0,-1.66894e-006,-7.62945e-006,7.62945e-006,-102.528
8.5,-2.3842e-006,-1.4782e-005,1.4782e-005,-99.042
8.5,-3.81473e-006,-1.04905e-005,1.09673e-005,-109.536
8.5,-4.05314e-006,-1.14442e-005,1.1921e-005,-109.44
8.0,3.81473e-006,-1.78815e-005,1.78815e-005,-77.76
8.0,-7.15259e-006,-1.04905e-005,1.23978e-005,-124.116
8.0,-5.00682e-006,-6.91417e-006,8.34471e-006,-126.192
7.5,-5.48366e-006,-8.34471e-006,9.77522e-006,-122.622
7.5,-1.66894e-006,-1.12057e-005,1.12057e-005,-98.49
7.5,-5.48366e-006,-1.14442e-005,1.23978e-005,-115.2
7.0,-2.86104e-006,-7.86787e-006,8.10629e-006,-109.176
7.0,-7.15259e-007,-1.50204e-005,1.4782e-005,-91.908
7.0,-2.86104e-006,-9.29838e-006,9.29838e-006,-106.218
6.5,-4.05314e-006,-9.5368e-006,1.00136e-005,-112.332
6.5,9.53682e-007,-8.34471e-006,8.10629e-006,-81.87
6.5,-6.19891e-006,-1.16826e-005,1.31131e-005,-118.842
6.0,-5.72208e-006,-8.82155e-006,1.02521e-005,-123.18
6.0,1.1921e-006,-1.07289e-005,1.04905e-005,-82.878
6.0,-5.72208e-006,-1.00136e-005,1.14442e-005,-119.538
5.5,1.66894e-006,-1.50204e-005,1.4782e-005,-82.956
5.5,2.3842e-007,-1.40668e-005,1.38283e-005,-88.638
5.5,-2.86104e-006,-1.57357e-005,1.57357e-005,-100.362
5.0,-2.86104e-006,-1.00136e-005,1.02521e-005,-105.822
5.0,-7.15259e-007,-5.96049e-006,5.72208e-006,-94.902
5.0,-2.62262e-006,-7.62945e-006,7.62945e-006,-108.432
4.5,-9.53682e-007,-1.35899e-005,1.33515e-005,-93.534
4.5,-1.1921e-006,-1.21594e-005,1.1921e-005,-95.55
4.5,-3.57629e-006,-1.00136e-005,1.04905e-005,-109.59
4.0,9.53682e-007,-1.16826e-005,1.14442e-005,-85.032
4.0,-5.00682e-006,-7.39101e-006,8.58313e-006,-124.902
4.0,-2.14578e-006,-5.72208e-006,5.72208e-006,-109.98
3.5,-4.29156e-006,-7.86787e-006,8.82155e-006,-118.008
3.5,3.09946e-006,-5.96049e-006,6.43733e-006,-61.506
3.5,-3.33787e-006,-9.5368e-006,9.77522e-006,-109.656
3.0,-2.3842e-006,-8.10629e-006,8.10629e-006,-106.26
3.0,9.53682e-007,-6.67575e-006,6.43733e-006,-81.468
3.0,-3.81473e-006,-2.14578e-006,4.05314e-006,-151.392
2.5,-1.1921e-006,-9.29838e-006,9.05996e-006,-97.254
2.5,-2.62262e-006,-1.12057e-005,1.12057e-005,-102.804
2.5,-4.52998e-006,-1.00136e-005,1.07289e-005,-114.588
2.0,2.3842e-007,-4.29156e-006,4.05314e-006,-85.428
2.0,7.15259e-007,-5.72208e-006,5.48366e-006,-81.384
2.0,1.90736e-006,-6.19891e-006,6.19891e-006,-71.568
1.5,-5.24524e-006,-9.05996e-006,1.02521e-005,-119.862
1.5,2.62262e-006,-8.10629e-006,8.34471e-006,-70.494
1.5,-3.09946e-006,-4.05314e-006,4.7684e-006,-128.046
