XinV,YinV,RinV,outputphase
-6.24661e-005,-9.32221e-005,0.000112057,-123.786
-3.60014e-005,-8.48775e-005,9.203e-005,-112.998
-6.15125e-005,-9.51295e-005,0.000112772,-122.85
-5.26907e-005,-9.656e-005,0.000109673,-118.548
-5.0545e-005,-9.91826e-005,0.000111104,-116.988
-5.72207e-005,-9.60832e-005,0.00011158,-120.774
-5.9128e-005,-9.58447e-005,0.000112296,-121.662
-5.48365e-005,-8.46391e-005,0.000100613,-122.982
-5.65054e-005,-9.17916e-005,0.000107527,-121.572
-5.50749e-005,-9.9421e-005,0.000113488,-118.974
-5.29292e-005,-8.03475e-005,9.60832e-005,-123.33
-4.74455e-005,-8.77385e-005,9.96594e-005,-118.32
-4.79224e-005,-8.27317e-005,9.53679e-005,-120.054
-4.83992e-005,-9.44142e-005,0.000105858,-117.126
-4.93529e-005,-8.70232e-005,9.96594e-005,-119.604
-4.38693e-005,-8.86922e-005,9.84673e-005,-116.262
-4.76839e-005,-0.000102759,0.000113011,-114.906
-4.33924e-005,-9.84673e-005,0.000107289,-113.7
-4.93529e-005,-9.77521e-005,0.000109196,-116.724
-5.26907e-005,-9.39374e-005,0.000107527,-119.304
-5.57902e-005,-9.75137e-005,0.000112296,-119.796
-5.36444e-005,-0.00010705,0.000119448,-116.562
-5.81744e-005,-0.000103713,0.000118733,-119.298
-5.9128e-005,-0.000100375,0.00011611,-120.498
-5.96049e-005,-0.000104428,0.000119925,-119.694
-5.19755e-005,-0.000103474,0.000115633,-116.64
-5.81744e-005,-0.000100136,0.000115633,-120.114
-6.22277e-005,-0.000105143,0.000121832,-120.63
-6.34198e-005,-0.000100136,0.000118256,-122.346
-5.72207e-005,-9.79905e-005,0.000113011,-120.228
-6.93803e-005,-0.000101567,0.000122786,-124.338
-5.98433e-005,-0.000100613,0.000116826,-120.768
-6.2943e-005,-9.08379e-005,0.000110388,-124.674
-6.22277e-005,-9.9421e-005,0.000117064,-121.968
-6.2943e-005,-8.86922e-005,0.000108481,-125.376
-5.81744e-005,-9.75137e-005,0.000113249,-120.792
-5.86512e-005,-9.03611e-005,0.000107289,-122.976
-6.00817e-005,-9.15532e-005,0.000109196,-123.3
-5.76975e-005,-9.91826e-005,0.000114441,-120.18
-5.10218e-005,-8.82153e-005,0.000101567,-120.096
-5.67439e-005,-8.53543e-005,0.000102282,-123.636
-5.41213e-005,-8.77385e-005,0.000102759,-121.632
-5.88896e-005,-8.96459e-005,0.000106812,-123.246
-5.0545e-005,-8.41622e-005,9.79905e-005,-120.966
-5.0545e-005,-8.70232e-005,0.000100375,-120.18
-4.98297e-005,-8.9169e-005,0.000101805,-119.166
-5.10218e-005,-8.48775e-005,9.89442e-005,-121.014
-5.12602e-005,-9.46526e-005,0.000107289,-118.434
-4.6015e-005,-9.656e-005,0.000106812,-115.524
-4.6015e-005,-9.15532e-005,0.000102282,-116.73
-4.55382e-005,-8.53543e-005,9.656e-005,-117.978
-5.65054e-005,-9.203e-005,0.000107766,-121.554
-5.43597e-005,-9.656e-005,0.000110627,-119.382
-5.10218e-005,-9.98979e-005,0.000111819,-116.982
-5.36444e-005,-9.58447e-005,0.000109673,-119.172
-4.93529e-005,-0.000102997,0.000113965,-115.596
-5.00681e-005,-0.00010252,0.000113965,-116.004
-5.14986e-005,-0.000105858,0.000117302,-115.914
-5.36444e-005,-0.00010562,0.000118256,-116.892
-5.38828e-005,-0.000102282,0.000115395,-117.786
