Frequency,XinV,YinV,RinV,outputphase
-4.72071e-005,0.000292303,0.000296118,99.162
-4.48229e-005,0.000293734,0.000297071,98.646
-4.69687e-005,0.000300409,0.000303986,98.856
-5.48365e-005,0.000299932,0.000304939,100.356
-5.60286e-005,0.000294449,0.000299456,100.734
-5.22139e-005,0.000292065,0.000296595,100.122
-5.36444e-005,0.000293972,0.00029874,100.314
-4.8876e-005,0.000296595,0.000300648,99.318
-5.10218e-005,0.00029874,0.000303032,99.684
-5.29292e-005,0.000298264,0.000302793,100.044
-5.10218e-005,0.000298264,0.000302555,99.702
-4.72071e-005,0.000300171,0.000303747,98.922
-4.95913e-005,0.000299694,0.000303747,99.372
-5.0545e-005,0.00029731,0.000301601,99.606
-5.41213e-005,0.00029421,0.000298979,100.398
-5.26907e-005,0.000294687,0.000299456,100.098
-4.67303e-005,0.000293972,0.000297787,98.982
-4.33924e-005,0.000297787,0.000300886,98.28
-4.72071e-005,0.000301363,0.000304939,98.892
-5.38828e-005,0.00029874,0.000303509,100.212
-4.93529e-005,0.00028968,0.000293972,99.66
-4.26772e-005,0.000279428,0.000282766,98.676
-4.19619e-005,0.000289204,0.000292303,98.226
-4.41077e-005,0.000296595,0.000299694,98.436
-5.17371e-005,0.000296595,0.000301125,99.876
-5.31676e-005,0.000292303,0.00029731,100.272
-5.36444e-005,0.000291111,0.000295879,100.41
-4.95913e-005,0.000295164,0.000299456,99.516
-4.72071e-005,0.000297787,0.000301601,98.994
-5.0545e-005,0.000298025,0.000302078,99.612
-5.41213e-005,0.000295879,0.000300648,100.338
-5.10218e-005,0.000293972,0.000298264,99.834
-4.55382e-005,0.000293018,0.000296595,98.79
-4.67303e-005,0.00029731,0.000300886,98.922
-4.50613e-005,0.000298264,0.000301601,98.58
-4.69687e-005,0.000295879,0.000299456,98.988
-5.10218e-005,0.000289919,0.000294449,99.942
-4.62534e-005,0.000291826,0.000295641,98.982
-4.50613e-005,0.000296118,0.000299456,98.604
-4.93529e-005,0.00029874,0.000302793,99.342
-5.10218e-005,0.000295879,0.000300171,99.744
-4.81608e-005,0.000293257,0.00029731,99.288
-4.50613e-005,0.000291588,0.000294926,98.772
-4.33924e-005,0.00029731,0.000300648,98.286
-4.76839e-005,0.000301125,0.000304701,98.964
-4.83992e-005,0.000301601,0.000305416,99.072
-4.67303e-005,0.000294449,0.000298264,99
-4.26772e-005,0.000292303,0.000295402,98.268
-4.19619e-005,0.00029731,0.000300409,98.004
-4.50613e-005,0.000300648,0.000303747,98.484
-4.8876e-005,0.000297548,0.000301601,99.318
-5.07834e-005,0.000293972,0.000298264,99.78
-4.98297e-005,0.000291349,0.000295641,99.672
-4.69687e-005,0.000295641,0.000299456,98.994
-4.86376e-005,0.000302793,0.000306608,99.096
-5.45981e-005,0.00030327,0.000308039,100.188
-5.45981e-005,0.000298025,0.000303032,100.362
-4.95913e-005,0.000291588,0.000295879,99.63
-4.43461e-005,0.000293972,0.00029731,98.574
-4.76839e-005,0.000297071,0.000300886,99.084
-5.24523e-005,0.000294449,0.000299217,100.068
-5.0545e-005,0.000294926,0.000299456,99.678
-4.76839e-005,0.000294449,0.000298264,99.162
-4.50613e-005,0.000296118,0.000299456,98.64
-4.67303e-005,0.000296595,0.000300409,98.904
-4.8876e-005,0.00029421,0.000298264,99.42
-5.26907e-005,0.000293495,0.000298264,100.134
-5.00681e-005,0.00029278,0.000297071,99.654
-4.64919e-005,0.000294926,0.000298502,98.928
-4.69687e-005,0.000298979,0.000302555,98.904
-4.95913e-005,0.000300886,0.000304939,99.336
-5.0545e-005,0.000299694,0.000303747,99.564
-5.0545e-005,0.000296356,0.000300648,99.636
-4.72071e-005,0.000297787,0.000301363,98.97
-4.55382e-005,0.000298264,0.00030184,98.634
-4.8876e-005,0.000299217,0.00030327,99.234
-5.17371e-005,0.000297071,0.000301601,99.864
-5.3406e-005,0.000294449,0.000299217,100.266
-5.10218e-005,0.000296356,0.000300648,99.732
-4.83992e-005,0.000299932,0.000303747,99.15
-4.8876e-005,0.000301125,0.000304939,99.21
-5.22139e-005,0.000296356,0.000300886,99.978
-5.03066e-005,0.000293018,0.00029731,99.714
-4.76839e-005,0.000294449,0.000298264,99.186
-4.72071e-005,0.000297787,0.000301601,98.994
-4.62534e-005,0.000303747,0.000307323,98.634
-4.83992e-005,0.000300648,0.000304462,99.126
-4.93529e-005,0.000295879,0.000299932,99.462
-4.79224e-005,0.000296118,0.000299932,99.168
-4.72071e-005,0.000299932,0.000303509,98.904
-4.93529e-005,0.000301363,0.000305416,99.294
-5.26907e-005,0.00029731,0.00030184,100.044
-5.14986e-005,0.00029278,0.00029731,99.936
-4.67303e-005,0.00029278,0.000296356,99.054
-4.62534e-005,0.000295641,0.000299217,98.868
-4.83992e-005,0.000298979,0.000302793,99.18
-5.31676e-005,0.000296356,0.000301125,100.164
-5.53133e-005,0.00029278,0.000298025,100.662
-5.24523e-005,0.000291349,0.000296118,100.176
-5.03066e-005,0.000293257,0.000297548,99.708
-4.91145e-005,0.000298025,0.000302078,99.33
-5.10218e-005,0.000299694,0.000303986,99.654
-5.00681e-005,0.000298264,0.000302317,99.516
-4.95913e-005,0.000295641,0.000299932,99.498
-4.93529e-005,0.000296595,0.000300648,99.438
-5.12602e-005,0.000298264,0.000302555,99.732
-5.38828e-005,0.000297787,0.000302555,100.248
-5.43597e-005,0.000297787,0.000302793,100.332
-5.29292e-005,0.00029731,0.000302078,100.068
-4.8876e-005,0.000299456,0.000303509,99.258
-4.8876e-005,0.000299932,0.000303747,99.246
