XinV,YinV,RinV,outputphase
2.86103e-005,0.000276567,0.000277521,83.946
2.57493e-005,0.000283243,0.000284197,84.756
2.6703e-005,0.000288012,0.000289919,84.588
3.71935e-005,0.000283243,0.00028515,82.494
4.00546e-005,0.000275614,0.000278475,81.618
3.71935e-005,0.000271799,0.00027466,82.206
3.24252e-005,0.000280382,0.000282289,83.358
2.6703e-005,0.000280382,0.000282289,84.45
3.05178e-005,0.000283243,0.00028515,83.688
3.71935e-005,0.000286104,0.000288965,82.578
3.52862e-005,0.000283243,0.00028515,82.758
3.52862e-005,0.000276567,0.000278475,82.584
3.05178e-005,0.000276567,0.000278475,83.538
2.3842e-005,0.000283243,0.000284197,85.026
3.43325e-005,0.000282289,0.000284197,83.01
3.71935e-005,0.000288012,0.000290873,82.5
3.81472e-005,0.000278475,0.000281336,82.116
3.52862e-005,0.000273706,0.000275614,82.65
2.57493e-005,0.000281336,0.000283243,84.732
2.86103e-005,0.000278475,0.000280382,84.006
3.05178e-005,0.000283243,0.00028515,83.706
2.9564e-005,0.000286104,0.000287058,84.024
3.71935e-005,0.000282289,0.00028515,82.476
3.14715e-005,0.000279428,0.000281336,83.478
3.05178e-005,0.000277521,0.000279428,83.568
2.19346e-005,0.000283243,0.000284197,85.434
2.57493e-005,0.000283243,0.000284197,84.624
3.24252e-005,0.000288012,0.000289919,83.412
4.10082e-005,0.000278475,0.000281336,81.564
2.6703e-005,0.000276567,0.000278475,84.372
2.57493e-005,0.00028515,0.000286104,84.66
2.3842e-005,0.000284197,0.00028515,85.044
2.57493e-005,0.000291826,0.000293734,84.792
3.24252e-005,0.000289919,0.000291826,83.574
3.71935e-005,0.000288012,0.000290873,82.632
2.9564e-005,0.000279428,0.000280382,83.886
2.57493e-005,0.000277521,0.000278475,84.522
2.86103e-005,0.000281336,0.000283243,84.198
2.86103e-005,0.00028515,0.000286104,84.132
3.52862e-005,0.000280382,0.000283243,82.842
3.71935e-005,0.000282289,0.00028515,82.344
3.24252e-005,0.000277521,0.000279428,83.298
2.28883e-005,0.000276567,0.000277521,85.188
2.76567e-005,0.00028515,0.000286104,84.396
2.57493e-005,0.000286104,0.000287058,84.816
3.05178e-005,0.000287058,0.000288965,83.922
3.24252e-005,0.000282289,0.000284197,83.274
3.52862e-005,0.000278475,0.000280382,82.776
3.05178e-005,0.000275614,0.000277521,83.658
