XinV,YinV,RinV,outputphase
6.93803e-005,0.000548366,0.000552658,82.776
6.53272e-005,0.000550035,0.00055385,83.226
6.60424e-005,0.000550274,0.000554089,83.142
6.62808e-005,0.000550035,0.000554089,83.124
6.96187e-005,0.000551704,0.000555996,82.806
7.34334e-005,0.000556234,0.000561241,82.458
7.24797e-005,0.000551943,0.000556711,82.5
7.39102e-005,0.000551227,0.000556234,82.356
7.12876e-005,0.000549082,0.00055385,82.584
6.72345e-005,0.000546459,0.000550751,82.98
6.72345e-005,0.000548605,0.000552896,83.004
6.77113e-005,0.000550751,0.000555042,82.98
6.67577e-005,0.000551466,0.000555281,83.088
6.8665e-005,0.000551943,0.000556234,82.89
6.98571e-005,0.00055385,0.000558142,82.8
7.29566e-005,0.000551704,0.000556473,82.464
7.53407e-005,0.000545505,0.000550751,82.122
7.46255e-005,0.000545267,0.000550274,82.206
7.24797e-005,0.000544075,0.000548843,82.392
6.79498e-005,0.000546698,0.000550751,82.896
6.72345e-005,0.000548605,0.000552896,83.004
6.53272e-005,0.000550989,0.000554804,83.238
6.79498e-005,0.000551943,0.000555996,82.962
7.17645e-005,0.000552181,0.00055695,82.572
7.34334e-005,0.000550751,0.000555519,82.38
7.12876e-005,0.000548843,0.000553612,82.596
7.12876e-005,0.000545744,0.000550512,82.554
7.03339e-005,0.000543837,0.000548366,82.614
6.91419e-005,0.000547174,0.000551466,82.8
6.79498e-005,0.000551466,0.000555519,82.968
6.91419e-005,0.000552896,0.000557188,82.872
7.00955e-005,0.000551943,0.000556234,82.758
7.10492e-005,0.000551227,0.000555757,82.644
7.24797e-005,0.000548605,0.000553612,82.476
7.27181e-005,0.000547174,0.000551943,82.422
6.91419e-005,0.000548605,0.000552896,82.8
6.74729e-005,0.00054932,0.000553612,82.98
6.84266e-005,0.000549082,0.000553373,82.872
7.10492e-005,0.000557426,0.000561956,82.728
7.3195e-005,0.000554089,0.000558857,82.464
7.24797e-005,0.00054932,0.000554089,82.482
7.12876e-005,0.000546936,0.000551466,82.572
7.10492e-005,0.000545267,0.000549797,82.566
6.96187e-005,0.000547413,0.000551943,82.734
6.74729e-005,0.000548128,0.000552181,82.98
6.62808e-005,0.000550035,0.000554089,83.124
6.81882e-005,0.000550989,0.000555281,82.932
7.12876e-005,0.000552896,0.000557426,82.65
7.29566e-005,0.000551466,0.000556234,82.44
7.12876e-005,0.000546936,0.000551704,82.572
6.89034e-005,0.000543598,0.000548128,82.77
6.69961e-005,0.00054479,0.000548843,82.974
6.65192e-005,0.000547413,0.000551466,83.058
6.81882e-005,0.000550989,0.000555281,82.932
7.00955e-005,0.00055242,0.00055695,82.764
7.12876e-005,0.000550274,0.000554804,82.596
7.41486e-005,0.000547413,0.00055242,82.29
7.27181e-005,0.000548605,0.000553373,82.44
6.91419e-005,0.000547651,0.000551943,82.788
6.65192e-005,0.000549797,0.000553612,83.088
6.60424e-005,0.000549797,0.000553612,83.136
6.72345e-005,0.000553612,0.000557426,83.064
6.98571e-005,0.000550751,0.000555281,82.758
7.08108e-005,0.000550274,0.000554565,82.65
7.17645e-005,0.000549559,0.000554089,82.536
7.00955e-005,0.000546936,0.000551466,82.674
6.98571e-005,0.000547413,0.000551943,82.716
6.74729e-005,0.000548843,0.000552896,82.974
6.77113e-005,0.000550512,0.000554565,82.98
7.05724e-005,0.000551466,0.000555757,82.698
7.10492e-005,0.000551466,0.000555757,82.644
7.29566e-005,0.000548128,0.000552896,82.398
7.08108e-005,0.000544075,0.000548605,82.566
6.79498e-005,0.000545267,0.00054932,82.878
6.69961e-005,0.000548605,0.000552896,83.022
6.81882e-005,0.000550274,0.000554565,82.926
6.98571e-005,0.000549797,0.000554327,82.746
7.34334e-005,0.000550035,0.000554804,82.392
7.24797e-005,0.00054932,0.000554089,82.482
7.24797e-005,0.000548128,0.000552896,82.47
6.93803e-005,0.000546936,0.000551227,82.758
6.31814e-005,0.000547413,0.000550989,83.4
6.36582e-005,0.000550751,0.000554565,83.406
6.77113e-005,0.000556234,0.000560526,83.052
7.10492e-005,0.000556234,0.000560764,82.71
7.48639e-005,0.000551227,0.000556234,82.254
7.46255e-005,0.000544075,0.00054932,82.17
7.24797e-005,0.000542406,0.000547174,82.386
6.69961e-005,0.000545982,0.000550274,83.004
6.62808e-005,0.000549797,0.00055385,83.124
6.69961e-005,0.000551466,0.000555519,83.076
7.12876e-005,0.000550989,0.000555757,82.608
7.36718e-005,0.000548128,0.000552896,82.326
7.29566e-005,0.000545982,0.000550751,82.386
6.8665e-005,0.000543598,0.000548128,82.788
6.53272e-005,0.000548128,0.000551943,83.202
6.53272e-005,0.000550035,0.00055385,83.226
6.84266e-005,0.000551466,0.000555757,82.902
7.29566e-005,0.00055242,0.000557426,82.458
7.46255e-005,0.000550512,0.000555519,82.26
7.36718e-005,0.000549082,0.000554089,82.344
7.03339e-005,0.000547651,0.000552181,82.668
6.91419e-005,0.000549082,0.000553612,82.824
6.74729e-005,0.000549797,0.00055385,82.986
6.79498e-005,0.00055242,0.000556711,82.986
7.10492e-005,0.000554089,0.000558618,82.68
7.24797e-005,0.000551466,0.000556234,82.494
7.24797e-005,0.000548366,0.000553135,82.452
7.05724e-005,0.00054789,0.00055242,82.65
6.91419e-005,0.000550274,0.000554565,82.824
6.84266e-005,0.00055242,0.000556711,82.914
7.00955e-005,0.000551704,0.000556234,82.752
7.27181e-005,0.000551227,0.000555996,82.476
7.55792e-005,0.000550751,0.000555996,82.182
7.34334e-005,0.000548843,0.00055385,82.356
7.17645e-005,0.000545744,0.000550512,82.488
6.34198e-005,0.000547651,0.000551466,83.388
6.65192e-005,0.000550274,0.000554089,83.094
7.00955e-005,0.000552896,0.000557426,82.752
7.29566e-005,0.000552181,0.00055695,82.47
7.41486e-005,0.000550274,0.000555281,82.308
7.34334e-005,0.00054932,0.000554089,82.362
7.1526e-005,0.000548128,0.000552896,82.554
7.03339e-005,0.000548843,0.000553373,82.68
6.79498e-005,0.000553612,0.000557665,82.998
7.00955e-005,0.000553373,0.000557903,82.776
7.29566e-005,0.000550989,0.000555757,82.452
7.74865e-005,0.000550274,0.000555757,81.984
7.34334e-005,0.000548843,0.00055385,82.356
6.79498e-005,0.00054479,0.000548843,82.866
6.79498e-005,0.00054479,0.000549082,82.89
6.84266e-005,0.000545982,0.000550274,82.836
7.10492e-005,0.000549082,0.00055385,82.62
7.36718e-005,0.000548605,0.000553612,82.338
7.20029e-005,0.000548366,0.000552896,82.506
7.08108e-005,0.00054789,0.00055242,82.632
6.77113e-005,0.000549797,0.00055385,82.968
6.91419e-005,0.000552896,0.000557188,82.854
6.91419e-005,0.000554804,0.000559095,82.896
7.17645e-005,0.000552181,0.00055695,82.572
7.34334e-005,0.000548128,0.000552896,82.344
7.10492e-005,0.000548605,0.000553135,82.608
6.69961e-005,0.000551227,0.000555281,83.052
6.74729e-005,0.000551466,0.000555757,83.022
6.79498e-005,0.000553612,0.000557665,82.998
7.10492e-005,0.000552896,0.000557426,82.668
7.12876e-005,0.000549559,0.000554089,82.59
6.98571e-005,0.000548128,0.00055242,82.722
6.8665e-005,0.000551466,0.000555757,82.884
6.91419e-005,0.000554565,0.000558857,82.89
7.3195e-005,0.00055242,0.000557426,82.44
7.58176e-005,0.000550274,0.000555281,82.152
7.46255e-005,0.000548843,0.00055385,82.254
7.12876e-005,0.000550035,0.000554565,82.596
6.77113e-005,0.000552896,0.000557188,83.01
7.00955e-005,0.000554089,0.000558618,82.77
7.27181e-005,0.000552181,0.00055695,82.488
7.41486e-005,0.000549082,0.000554089,82.296
7.12876e-005,0.000547651,0.00055242,82.584
6.72345e-005,0.000549797,0.000554089,83.022
6.77113e-005,0.000552181,0.000556234,82.998
7.12876e-005,0.00055242,0.000557188,82.626
7.41486e-005,0.000551466,0.000556234,82.338
7.08108e-005,0.000549082,0.000553612,82.632
6.69961e-005,0.000549082,0.000552896,83.046
6.72345e-005,0.000549797,0.00055385,83.016
6.96187e-005,0.000551704,0.000555996,82.806
7.00955e-005,0.000549082,0.000553612,82.704
7.12876e-005,0.000545744,0.000550274,82.536
